id,AGE,AREA_KM2,NAME,POP,FIPS,time,SEX
121,19,364485,Japan,630546,JA,2011,Male
122,20,364485,Japan,618313,JA,2011,Male
123,21,364485,Japan,609722,JA,2011,Male
124,22,364485,Japan,620406,JA,2011,Male
125,23,364485,Japan,648077,JA,2011,Male
126,24,364485,Japan,670929,JA,2011,Male
127,25,364485,Japan,688052,JA,2011,Male
128,26,364485,Japan,709698,JA,2011,Male
129,27,364485,Japan,729256,JA,2011,Male
130,28,364485,Japan,732887,JA,2011,Male
131,29,364485,Japan,735320,JA,2011,Male
132,30,364485,Japan,754686,JA,2011,Male
133,31,364485,Japan,789395,JA,2011,Male
134,32,364485,Japan,775893,JA,2011,Male
135,33,364485,Japan,803997,JA,2011,Male
136,34,364485,Japan,827075,JA,2011,Male
137,35,364485,Japan,855185,JA,2011,Male
138,36,364485,Japan,904827,JA,2011,Male
139,37,364485,Japan,967215,JA,2011,Male
140,38,364485,Japan,970926,JA,2011,Male
141,39,364485,Japan,948309,JA,2011,Male
142,40,364485,Japan,924356,JA,2011,Male
143,41,364485,Japan,899735,JA,2011,Male
144,42,364485,Japan,901798,JA,2011,Male
145,43,364485,Japan,882816,JA,2011,Male
146,44,364485,Japan,829597,JA,2011,Male
147,45,364485,Japan,733224,JA,2011,Male
148,46,364485,Japan,842128,JA,2011,Male
149,47,364485,Japan,813913,JA,2011,Male
150,48,364485,Japan,791280,JA,2011,Male
151,49,364485,Japan,768363,JA,2011,Male
152,50,364485,Japan,767001,JA,2011,Male
153,51,364485,Japan,773590,JA,2011,Male
154,52,364485,Japan,787528,JA,2011,Male
155,53,364485,Japan,765687,JA,2011,Male
156,54,364485,Japan,757532,JA,2011,Male
157,55,364485,Japan,795624,JA,2011,Male
158,56,364485,Japan,816333,JA,2011,Male
159,57,364485,Japan,830755,JA,2011,Male
160,58,364485,Japan,875857,JA,2011,Male
161,59,364485,Japan,921225,JA,2011,Male
162,60,364485,Japan,977307,JA,2011,Male
163,61,364485,Japan,1049505,JA,2011,Male
164,62,364485,Japan,1117194,JA,2011,Male
165,63,364485,Japan,1092068,JA,2011,Male
166,64,364485,Japan,952709,JA,2011,Male
167,65,364485,Japan,672586,JA,2011,Male
168,66,364485,Japan,734936,JA,2011,Male
169,67,364485,Japan,827726,JA,2011,Male
170,68,364485,Japan,807225,JA,2011,Male
171,69,364485,Japan,811903,JA,2011,Male
172,70,364485,Japan,768710,JA,2011,Male
173,71,364485,Japan,683559,JA,2011,Male
174,72,364485,Japan,597285,JA,2011,Male
175,73,364485,Japan,620830,JA,2011,Male
176,74,364485,Japan,621065,JA,2011,Male
177,75,364485,Japan,595352,JA,2011,Male
178,76,364485,Japan,549764,JA,2011,Male
179,77,364485,Japan,511667,JA,2011,Male
180,78,364485,Japan,489839,JA,2011,Male
181,79,364485,Japan,460077,JA,2011,Male
182,80,364485,Japan,419993,JA,2011,Male
183,81,364485,Japan,379698,JA,2011,Male
184,82,364485,Japan,346303,JA,2011,Male
185,83,364485,Japan,312260,JA,2011,Male
186,84,364485,Japan,277285,JA,2011,Male
187,85,364485,Japan,240586,JA,2011,Male
188,86,364485,Japan,199162,JA,2011,Male
189,87,364485,Japan,157232,JA,2011,Male
190,88,364485,Japan,123730,JA,2011,Male
191,89,364485,Japan,99725,JA,2011,Male
192,90,364485,Japan,81723,JA,2011,Male
193,91,364485,Japan,67981,JA,2011,Male
194,92,364485,Japan,48541,JA,2011,Male
195,93,364485,Japan,39890,JA,2011,Male
196,94,364485,Japan,31287,JA,2011,Male
197,95,364485,Japan,23957,JA,2011,Male
